-DOCSTART- -X- -X- O
access -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
to -X- _ O
my -X- _ O
phone -X- _ O
? -X- _ O

Why -X- _ O
Is -X- _ O
a -X- _ O
Payment -X- _ B-CARD_FEATURE
Failure -X- _ I-CARD_FEATURE
Message -X- _ O
Displayed -X- _ O
When -X- _ O
I -X- _ O
Recharge -X- _ O
a -X- _ O
Traffic -X- _ B-CARD_TYPE
Card -X- _ I-CARD_TYPE
? -X- _ O

How -X- _ O
Do -X- _ O
I -X- _ O
Disable -X- _ O
Account -X- _ B-HMS_SERVICE_FEATURE
Protection -X- _ I-HMS_SERVICE_FEATURE
? -X- _ O

What -X- _ O
is -X- _ O
a -X- _ O
quick -X- _ B-CARD_FEATURE
payment -X- _ I-CARD_FEATURE
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

The -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
can -X- _ O
not -X- _ O
be -X- _ O
swiped -X- _ O
. -X- _ O

Add -X- _ O
Credit -X- _ B-CARD_TYPE
Card -X- _ I-CARD_TYPE

Can -X- _ O
we -X- _ O
change -X- _ O
the -X- _ O
new -X- _ O
password -X- _ B-HMS_SERVICE_FEATURE
protection -X- _ I-HMS_SERVICE_FEATURE
problem -X- _ O
? -X- _ O

I -X- _ O
ca -X- _ O
n't -X- _ O
pay -X- _ O
the -X- _ O
bus -X- _ B-TRANSPORT
fare -X- _ O
. -X- _ O

How -X- _ O
to -X- _ O
cancel -X- _ O
the -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
payment -X- _ B-CODE_TYPE
code -X- _ I-CODE_TYPE
? -X- _ O

Ca -X- _ O
n't -X- _ O
you -X- _ O
use -X- _ O
your -X- _ O
phone -X- _ O
if -X- _ O
you -X- _ O
lose -X- _ O
it -X- _ O
? -X- _ O

How -X- _ O
to -X- _ O
use -X- _ O
the -X- _ O
balance -X- _ O
of -X- _ O
the -X- _ O
original -X- _ O
card -X- _ O
after -X- _ O
the -X- _ O
Beijing -X- _ B-LOC
Traffic -X- _ B-CARD_TYPE
Card -X- _ I-CARD_TYPE
is -X- _ O
upgraded -X- _ O
to -X- _ O
Beijing -X- _ B-LOC
, -X- _ O
Tianjin -X- _ B-LOC
, -X- _ O
and -X- _ O
Hebei -X- _ B-LOC
? -X- _ O

50 -X- _ O
% -X- _ O
discount -X- _ O
for -X- _ O
metro -X- _ B-TRANSPORT
activities -X- _ O

Could -X- _ O
you -X- _ O
check -X- _ O
it -X- _ O
for -X- _ O
me -X- _ O
? -X- _ O
Do -X- _ O
I -X- _ O
have -X- _ O
a -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

What -X- _ O
am -X- _ O
I -X- _ O
paying -X- _ O
for -X- _ O
? -X- _ O

What -X- _ O
time -X- _ O
does -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
delete -X- _ O
the -X- _ O
balance -X- _ O
? -X- _ O

Beijing -X- _ B-CARD_TYPE
- -X- _ I-CARD_TYPE
Tianjin -X- _ I-CARD_TYPE
- -X- _ I-CARD_TYPE
Hebei -X- _ I-CARD_TYPE
Card -X- _ I-CARD_TYPE
Balance -X- _ O
Anomaly -X- _ O

Where -X- _ O
can -X- _ O
I -X- _ O
pay -X- _ O
online -X- _ O
? -X- _ O

AP -X- _ B-HMS_SERVICE_FEATURE
LOG -X- _ I-HMS_SERVICE_FEATURE
submission -X- _ O
method -X- _ O

After -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
bound -X- _ O
to -X- _ O
the -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
, -X- _ O
can -X- _ O
you -X- _ O
directly -X- _ O
use -X- _ O
the -X- _ O
nfc -X- _ B-CARD_USAGE
to -X- _ O
update -X- _ O
the -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
the -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
and -X- _ O
huaweipay -X- _ B-HMS_SERVICE
icons -X- _ O
overlap -X- _ O
? -X- _ O

Why -X- _ O
ca -X- _ O
n't -X- _ O
I -X- _ O
add -X- _ O
electronic -X- _ O
documents -X- _ O
? -X- _ O

Which -X- _ O
cities -X- _ O
does -X- _ O
Huawei -X- _ B-CARD_TYPE
traffic -X- _ I-CARD_TYPE
card -X- _ I-CARD_TYPE
support -X- _ O
? -X- _ O

Can -X- _ O
I -X- _ O
cancel -X- _ O
the -X- _ O
login -X- _ B-HMS_SERVICE_FEATURE
password -X- _ I-HMS_SERVICE_FEATURE
verification -X- _ O
? -X- _ O
I -X- _ O
lost -X- _ O
my -X- _ O
mobile -X- _ O
phone -X- _ O
with -X- _ O
a -X- _ O
SIM -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
. -X- _ O
I -X- _ O
bought -X- _ O
a -X- _ O
new -X- _ O
mobile -X- _ O
phone -X- _ O
and -X- _ O
logged -X- _ O
in -X- _ O
with -X- _ O
qq -X- _ B-CODE_TYPE
. -X- _ O
I -X- _ O
forgot -X- _ O
the -X- _ O
password -X- _ O
. -X- _ O
I -X- _ O
want -X- _ O
to -X- _ O
log -X- _ O
in -X- _ O
to -X- _ O
the -X- _ O
new -X- _ O
account -X- _ O
with -X- _ O
the -X- _ O
new -X- _ O
password -X- _ O
. -X- _ O

mate20x -X- _ B-HUAWEI_DEVICE
, -X- _ O
the -X- _ O
access -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
can -X- _ O
be -X- _ O
downloaded -X- _ O
, -X- _ O
but -X- _ O
the -X- _ O
card -X- _ B-CARD_FEATURE
swiping -X- _ I-CARD_FEATURE
fails -X- _ O
. -X- _ O

Cancel -X- _ O
the -X- _ O
order -X- _ O
. -X- _ O
Is -X- _ O
the -X- _ O
incentive -X- _ O
bonus -X- _ O
still -X- _ O
available -X- _ O
? -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
there -X- _ O
is -X- _ O
no -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
option -X- _ O
on -X- _ O
my -X- _ O
phone -X- _ O
? -X- _ O

Cheater -X- _ O

How -X- _ O
to -X- _ O
migrate -X- _ O
the -X- _ O
Beijing -X- _ B-LOC
, -X- _ O
Tianjin -X- _ B-LOC
, -X- _ O
and -X- _ O
Hebei -X- _ B-LOC
interconnection -X- _ B-CARD_TYPE
cards -X- _ I-CARD_TYPE
to -X- _ O
the -X- _ O
watch -X- _ B-HUAWEI_DEVICE
? -X- _ O

The -X- _ O
system -X- _ O
is -X- _ O
upgraded -X- _ O
to -X- _ O
a -X- _ O
specified -X- _ O
version -X- _ O
, -X- _ O
and -X- _ O
no -X- _ O
discount -X- _ O
is -X- _ O
available -X- _ O
for -X- _ O
full -X- _ O
reduction -X- _ O
. -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
the -X- _ O
Eid -X- _ B-CARD_TYPE
of -X- _ O
the -X- _ O
old -X- _ O
phone -X- _ O
is -X- _ O
not -X- _ O
deleted -X- _ O
? -X- _ O

Failed -X- _ O
to -X- _ O
swipe -X- _ O
the -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
on -X- _ O
the -X- _ O
mobile -X- _ O
phone -X- _ O
. -X- _ O

What -X- _ O
do -X- _ O
you -X- _ O
mean -X- _ O
, -X- _ O
\"Flash\ -X- _ O
" -X- _ O
? -X- _ O

Can -X- _ O
I -X- _ O
open -X- _ O
a -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
for -X- _ O
Honor -X- _ B-HUAWEI_DEVICE
Magic2 -X- _ I-HUAWEI_DEVICE
? -X- _ O

My -X- _ O
phone -X- _ O
is -X- _ O
magic2 -X- _ B-HUAWEI_DEVICE
. -X- _ O
When -X- _ O
Huawei -X- _ B-HMS_SERVICE
pay -X- _ I-HMS_SERVICE
is -X- _ O
used -X- _ O
, -X- _ O
the -X- _ O
fingerprint -X- _ O
interface -X- _ O
is -X- _ O
not -X- _ O
displayed -X- _ O
. -X- _ O

I -X- _ O
ca -X- _ O
n't -X- _ O
find -X- _ O
a -X- _ O
traffic -X- _ O
trip -X- _ O
. -X- _ O

Hello -X- _ O
, -X- _ O
when -X- _ O
I -X- _ O
use -X- _ O
huaweipay -X- _ B-HMS_SERVICE
to -X- _ O
pay -X- _ O
, -X- _ O
I -X- _ O
often -X- _ O
get -X- _ O
stuck -X- _ O
in -X- _ O
the -X- _ O
payment -X- _ O
interface -X- _ O
. -X- _ O
If -X- _ O
I -X- _ O
do -X- _ O
not -X- _ O
respond -X- _ O
, -X- _ O
I -X- _ O
ca -X- _ O
n't -X- _ O
return -X- _ O
it -X- _ O
. -X- _ O
How -X- _ O
can -X- _ O
I -X- _ O
handle -X- _ O
this -X- _ O
situation -X- _ O
? -X- _ O

Why -X- _ O
is -X- _ O
my -X- _ O
account -X- _ O
number -X- _ O
different -X- _ O
from -X- _ O
that -X- _ O
on -X- _ O
the -X- _ O
ATM -X- _ O
? -X- _ O

Can -X- _ O
I -X- _ O
delete -X- _ O
a -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
on -X- _ O
my -X- _ O
watch -X- _ B-HUAWEI_DEVICE
? -X- _ O

Does -X- _ O
Huawei -X- _ B-ORG
enjoy -X- _ O
9plus -X- _ B-HUAWEI_DEVICE
wallet -X- _ B-HMS_SERVICE
without -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O
Ca -X- _ O
n't -X- _ O
I -X- _ O
add -X- _ O
a -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
service -X- _ O
? -X- _ O

How -X- _ O
to -X- _ O
add -X- _ O
a -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

How -X- _ O
Do -X- _ O
I -X- _ O
Delete -X- _ O
an -X- _ O
Eid -X- _ B-CARD_TYPE
from -X- _ O
a -X- _ O
Mobile -X- _ O
Phone -X- _ O
? -X- _ O

The -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
upgraded -X- _ O
according -X- _ O
to -X- _ O
the -X- _ O
prompt -X- _ O
. -X- _ O
After -X- _ O
the -X- _ O
recharge -X- _ O
amount -X- _ O
is -X- _ O
0.1 -X- _ O
yuan -X- _ B-CURRENCY_NAME
, -X- _ O
the -X- _ O
balance -X- _ O
of -X- _ O
the -X- _ O
original -X- _ O
card -X- _ O
is -X- _ O
lost -X- _ O
. -X- _ O
What -X- _ O
is -X- _ O
the -X- _ O
problem -X- _ O
? -X- _ O

Analog -X- _ O
door -X- _ B-CARD_TYPE
key -X- _ I-CARD_TYPE

Why -X- _ O
is -X- _ O
my -X- _ O
change -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
frozen -X- _ O
, -X- _ O
how -X- _ O
to -X- _ O
unfreeze -X- _ O
\u0012 -X- _ O

I -X- _ O
have -X- _ O
participated -X- _ O
in -X- _ O
the -X- _ O
full -X- _ O
reduction -X- _ O
activity -X- _ O
. -X- _ O
The -X- _ O
recharge -X- _ O
status -X- _ O
is -X- _ O
displayed -X- _ O
as -X- _ O
closed -X- _ O
, -X- _ O
but -X- _ O
why -X- _ O
is -X- _ O
the -X- _ O
money -X- _ O
not -X- _ O
yet -X- _ O
arrived -X- _ O
? -X- _ O

Why -X- _ O
is -X- _ O
the -X- _ O
verification -X- _ B-CODE_TYPE
code -X- _ I-CODE_TYPE
always -X- _ O
incorrect -X- _ O
when -X- _ O
I -X- _ O
select -X- _ O
a -X- _ O
birthday -X- _ O
and -X- _ O
select -X- _ O
a -X- _ O
mobile -X- _ O
number -X- _ O
when -X- _ O
setting -X- _ O
the -X- _ O
payment -X- _ B-CARD_FEATURE
password -X- _ I-CARD_FEATURE
? -X- _ O

When -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
added -X- _ O
to -X- _ O
Honor -X- _ B-HUAWEI_DEVICE
8 -X- _ I-HUAWEI_DEVICE
, -X- _ O
a -X- _ O
message -X- _ O
is -X- _ O
displayed -X- _ O
, -X- _ O
indicating -X- _ O
that -X- _ O
the -X- _ O
security -X- _ O
chip -X- _ O
is -X- _ O
abnormal -X- _ O
. -X- _ O

I -X- _ O
want -X- _ O
to -X- _ O
cancel -X- _ O
the -X- _ O
payment -X- _ B-CODE_TYPE
code -X- _ I-CODE_TYPE
. -X- _ O

Does -X- _ O
mate20 -X- _ B-HUAWEI_DEVICE
pay -X- _ O
for -X- _ O
flash -X- _ B-CARD_FEATURE
payment -X- _ I-CARD_FEATURE
? -X- _ O

The -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
not -X- _ O
recorded -X- _ O
. -X- _ O

What -X- _ O
is -X- _ O
the -X- _ O
problem -X- _ O
of -X- _ O
the -X- _ O
access -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
simulation -X- _ O
failure -X- _ O
? -X- _ O

How -X- _ O
to -X- _ O
view -X- _ O
the -X- _ O
complaint -X- _ O
progress -X- _ O
? -X- _ O

How -X- _ O
long -X- _ O
does -X- _ O
the -X- _ O
subway -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
recharge -X- _ O
? -X- _ O

[ -X- _ O
Huawei -X- _ B-ORG
] -X- _ O
[ -X- _ O
Account -X- _ O
] -X- _ O
[ -X- _ O
Password -X- _ O
] -X- _ O
[ -X- _ O
Forgot -X- _ O
] -X- _ O
[ -X- _ O
Number -X- _ O
] -X- _ O
[ -X- _ O
New -X- _ O
] -X- _ O
[ -X- _ O
How -X- _ O
to -X- _ O
do -X- _ O
? -X- _ O
] -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
I -X- _ O
forget -X- _ O
the -X- _ O
payment -X- _ B-CARD_FEATURE
password -X- _ I-CARD_FEATURE
? -X- _ O

Why -X- _ O
the -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
does -X- _ O
not -X- _ O
have -X- _ O
the -X- _ O
option -X- _ O
of -X- _ O
adding -X- _ O
a -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

H -X- _ B-HMS_SERVICE
- -X- _ I-HMS_SERVICE
coins -X- _ I-HMS_SERVICE
can -X- _ O
be -X- _ O
used -X- _ O
for -X- _ O
Huawei -X- _ B-HMS_SERVICE
videos -X- _ I-HMS_SERVICE
. -X- _ O

I -X- _ O
changed -X- _ O
my -X- _ O
phone -X- _ O
, -X- _ O
but -X- _ O
the -X- _ O
old -X- _ O
phone -X- _ O
has -X- _ O
been -X- _ O
sold -X- _ O
. -X- _ O
Now -X- _ O
there -X- _ O
is -X- _ O
a -X- _ O
Zhang -X- _ B-CARD_TYPE
Jiaotong -X- _ I-CARD_TYPE
card -X- _ I-CARD_TYPE
that -X- _ O
needs -X- _ O
to -X- _ O
be -X- _ O
migrated -X- _ O
to -X- _ O
a -X- _ O
new -X- _ O
mobile -X- _ O
phone -X- _ O
. -X- _ O
What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
? -X- _ O

How -X- _ O
Do -X- _ O
I -X- _ O
Submit -X- _ O
System -X- _ O
Logs -X- _ O
on -X- _ O
a -X- _ O
Mobile -X- _ O
Phone -X- _ O
? -X- _ O

The -X- _ O
ID -X- _ B-HMS_SERVICE
is -X- _ O
bound -X- _ O
to -X- _ O
the -X- _ O
old -X- _ O
card -X- _ O
and -X- _ O
can -X- _ O
not -X- _ O
be -X- _ O
cleared -X- _ O
. -X- _ O

Cancel -X- _ O
automatic -X- _ B-CARD_FEATURE
fee -X- _ I-CARD_FEATURE
deduction -X- _ I-CARD_FEATURE

The -X- _ O
credit -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
can -X- _ O
not -X- _ O
be -X- _ O
bound -X- _ O
. -X- _ O

Which -X- _ O
numbers -X- _ O
can -X- _ O
be -X- _ O
used -X- _ O
to -X- _ O
log -X- _ O
in -X- _ O
to -X- _ O
Huawei -X- _ B-HMS_SERVICE
ID -X- _ I-HMS_SERVICE
? -X- _ O

I -X- _ O
changed -X- _ O
the -X- _ O
phone -X- _ O
of -X- _ O
another -X- _ O
brand -X- _ O
, -X- _ O
can -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
move -X- _ O
past -X- _ O
? -X- _ O

How -X- _ O
can -X- _ O
I -X- _ O
pay -X- _ O
online -X- _ O
if -X- _ O
NFC -X- _ B-CARD_USAGE
is -X- _ O
not -X- _ O
supported -X- _ O
? -X- _ O

Hello -X- _ O
, -X- _ O
may -X- _ O
I -X- _ O
speak -X- _ O
to -X- _ O
you -X- _ O
, -X- _ O
please -X- _ O
? -X- _ O

I -X- _ O
want -X- _ O
to -X- _ O
cancel -X- _ O
the -X- _ O
traffic -X- _ O
of -X- _ O
the -X- _ O
full -X- _ O
level -X- _ O
activity -X- _ O
. -X- _ O

How -X- _ O
many -X- _ O
EIDs -X- _ B-CARD_TYPE
can -X- _ O
a -X- _ O
person -X- _ O
apply -X- _ O
for -X- _ O
? -X- _ O

The -X- _ O
actual -X- _ O
fee -X- _ O
deducted -X- _ O
from -X- _ O
the -X- _ O
bound -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
is -X- _ O
50 -X- _ B-MONEY
yuan -X- _ I-MONEY
, -X- _ O
which -X- _ O
is -X- _ O
not -X- _ O
reduced -X- _ O
by -X- _ O
10 -X- _ B-MONEY
yuan -X- _ I-MONEY
. -X- _ O

Huawei -X- _ B-HUAWEI_DEVICE
Watch -X- _ I-HUAWEI_DEVICE
return -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
I -X- _ O
forget -X- _ O
to -X- _ O
pay -X- _ O
for -X- _ O
the -X- _ O
password -X- _ O
and -X- _ O
question -X- _ O
? -X- _ O

The -X- _ O
method -X- _ O
of -X- _ O
sucking -X- _ O
the -X- _ O
card -X- _ O

How -X- _ O
can -X- _ O
I -X- _ O
use -X- _ O
a -X- _ O
convenient -X- _ O
access -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

ID -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
unbinding -X- _ B-CARD_FEATURE

Rebate -X- _ O
after -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
payment -X- _ O

Can -X- _ O
p9 -X- _ B-HUAWEI_DEVICE
add -X- _ O
a -X- _ O
access -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

How -X- _ O
can -X- _ O
I -X- _ O
add -X- _ O
a -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
if -X- _ O
I -X- _ O
do -X- _ O
not -X- _ O
see -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
in -X- _ O
the -X- _ O
+ -X- _ O
? -X- _ O

Ca -X- _ O
n't -X- _ O
use -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
in -X- _ O
Qinghai -X- _ O
area -X- _ O
? -X- _ O

Hello -X- _ O
, -X- _ O
I -X- _ O
add -X- _ O
the -X- _ O
Guangfa -X- _ B-ORG
bank -X- _ I-ORG
credit -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
, -X- _ O
why -X- _ O
not -X- _ O
in -X- _ O
two -X- _ O
days -X- _ O
, -X- _ O
what -X- _ O
reason -X- _ O
? -X- _ O

How -X- _ O
to -X- _ O
use -X- _ O
the -X- _ O
wallet -X- _ B-HMS_SERVICE
payment -X- _ B-CODE_TYPE
code -X- _ I-CODE_TYPE
? -X- _ O

Why -X- _ O
ca -X- _ O
n't -X- _ O
I -X- _ O
use -X- _ O
a -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Is -X- _ O
the -X- _ O
lock -X- _ O
screen -X- _ O
fingerprint -X- _ O
the -X- _ O
same -X- _ O
as -X- _ O
the -X- _ O
payment -X- _ O
fingerprint -X- _ O
? -X- _ O

Does -X- _ O
my -X- _ O
phone -X- _ O
support -X- _ O
the -X- _ O
door -X- _ B-CARD_TYPE
key -X- _ I-CARD_TYPE
? -X- _ O

Disable -X- _ O
the -X- _ O
application -X- _ O
recommendation -X- _ O
function -X- _ O
. -X- _ O

I -X- _ O
do -X- _ O
n't -X- _ O
want -X- _ O
to -X- _ O
use -X- _ O
a -X- _ O
Huawei -X- _ B-HMS_SERVICE
ID -X- _ I-HMS_SERVICE
. -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
the -X- _ O
door -X- _ B-CARD_TYPE
key -X- _ I-CARD_TYPE
is -X- _ O
not -X- _ O
displayed -X- _ O
on -X- _ O
the -X- _ O
home -X- _ O
page -X- _ O
? -X- _ O

Where -X- _ O
can -X- _ O
I -X- _ O
view -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
transaction -X- _ O
records -X- _ O
? -X- _ O

Why -X- _ O
can -X- _ O
a -X- _ O
maximum -X- _ O
of -X- _ O
four -X- _ O
bank -X- _ B-CARD_TYPE
cards -X- _ I-CARD_TYPE
be -X- _ O
added -X- _ O
to -X- _ O
the -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
? -X- _ O

How -X- _ O
does -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
release -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
free -X- _ O
of -X- _ O
charge -X- _ O
? -X- _ O

Are -X- _ O
you -X- _ O
paralyzed -X- _ O
? -X- _ O

Does -X- _ O
Honor -X- _ B-HUAWEI_DEVICE
20i -X- _ I-HUAWEI_DEVICE
do -X- _ O
not -X- _ O
support -X- _ O
door -X- _ B-CARD_TYPE
keys -X- _ I-CARD_TYPE
? -X- _ O

Innocent -X- _ O
deduction -X- _ O

Can -X- _ O
I -X- _ O
add -X- _ O
an -X- _ O
entity -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
to -X- _ O
Huawei -X- _ B-HMS_SERVICE
Pay -X- _ I-HMS_SERVICE
? -X- _ O

Cancel -X- _ O
Video -X- _ B-HMS_SERVICE
Renewal -X- _ B-CARD_FEATURE

Can -X- _ O
I -X- _ O
add -X- _ O
only -X- _ O
one -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

I -X- _ O
just -X- _ O
paid -X- _ O
for -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
. -X- _ O
I -X- _ O
did -X- _ O
n't -X- _ O
get -X- _ O
it -X- _ O
. -X- _ O

Indicates -X- _ O
whether -X- _ O
to -X- _ O
automatically -X- _ O
delete -X- _ O
the -X- _ O
Eid -X- _ B-CARD_TYPE
after -X- _ O
the -X- _ O
factory -X- _ O
default -X- _ O
settings -X- _ O
are -X- _ O
restored -X- _ O
. -X- _ O

Refund -X- _ O
service -X- _ O
fee -X- _ O

The -X- _ O
bus -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
can -X- _ O
not -X- _ O
be -X- _ O
detected -X- _ O
. -X- _ O

I -X- _ O
do -X- _ O
n't -X- _ O
see -X- _ O
the -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
option -X- _ O
. -X- _ O

Adding -X- _ O
a -X- _ O
door -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE

Bill -X- _ O
query -X- _ O

Models -X- _ O
Supported -X- _ O
by -X- _ O
Traffic -X- _ B-CARD_TYPE
Cards -X- _ I-CARD_TYPE

My -X- _ O
traffic -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
ca -X- _ O
n't -X- _ O
brush -X- _ O
the -X- _ O
bus -X- _ B-TRANSPORT
. -X- _ O

Wuxi -X- _ B-LOC
one -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
to -X- _ O
open -X- _ O
the -X- _ O
card -X- _ O
to -X- _ O
take -X- _ O
my -X- _ O
money -X- _ O
, -X- _ O
said -X- _ O
the -X- _ O
8.8 -X- _ B-VERSION

Does -X- _ O
the -X- _ O
mate -X- _ B-HUAWEI_DEVICE
system -X- _ O
support -X- _ O
the -X- _ O
binding -X- _ B-CARD_FEATURE
of -X- _ O
bank -X- _ B-CARD_TYPE
cards -X- _ I-CARD_TYPE
? -X- _ O

Failed -X- _ O
to -X- _ O
find -X- _ O
the -X- _ O
entrance -X- _ O
to -X- _ O
the -X- _ O
incentive -X- _ O
fund -X- _ O
. -X- _ O

You -X- _ O
ca -X- _ O
n't -X- _ O
use -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
to -X- _ O
take -X- _ O
a -X- _ O
subway -X- _ B-TRANSPORT
. -X- _ O

Will -X- _ O
the -X- _ O
wallet -X- _ B-HMS_SERVICE
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
be -X- _ O
deleted -X- _ O
from -X- _ O
the -X- _ O
mobile -X- _ O
phone -X- _ O
upgrade -X- _ O
system -X- _ O
? -X- _ O

How -X- _ O
Do -X- _ O
I -X- _ O
Bind -X- _ O
Alipay -X- _ B-NON_HMS_SERVICE
? -X- _ O

Introduction -X- _ O
to -X- _ O
the -X- _ O
Change -X- _ O
Function -X- _ O

What -X- _ O
can -X- _ O
I -X- _ O
do -X- _ O
if -X- _ O
I -X- _ O
can -X- _ O
not -X- _ O
identify -X- _ O
the -X- _ O
payment -X- _ B-CODE_TYPE
receipt -X- _ I-CODE_TYPE
code -X- _ I-CODE_TYPE
? -X- _ O

Can -X- _ O
I -X- _ O
clone -X- _ O
a -X- _ O
bank -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
? -X- _ O

Changing -X- _ O
the -X- _ O
Mobile -X- _ O
Number -X- _ O
of -X- _ O
a -X- _ O
Huawei -X- _ B-HMS_SERVICE
Account -X- _ I-HMS_SERVICE

How -X- _ O
do -X- _ O
I -X- _ O
enable -X- _ O
the -X- _ O
cash -X- _ O
register -X- _ O
? -X- _ O

The -X- _ O
door -X- _ B-CARD_TYPE
key -X- _ I-CARD_TYPE
does -X- _ O
not -X- _ O
respond -X- _ O
when -X- _ O
the -X- _ O
card -X- _ O
is -X- _ O
read -X- _ O
. -X- _ O

More -X- _ O
money -X- _ O
is -X- _ O
deducted -X- _ O
from -X- _ O
the -X- _ O
NFC -X- _ B-CARD_TYPE
card -X- _ I-CARD_TYPE
. -X- _ O

watch2 -X- _ B-HUAWEI_DEVICE
what -X- _ O
time -X- _ O
does -X- _ O
the -X- _ O
Beijing -X- _ B-ORG
Municipal -X- _ I-ORG
Transportation -X- _ B-CARD_TYPE
Card -X- _ I-CARD_TYPE
Joint -X- _ O
